PMID	Target	Intervention	Effect on gene product	Model	Susceptibility observed	Inferred gene effect	Delivery	Species	pub_date	LastAuthor
30145794	MTOR	Rapamycin	Inhibition	Surgical - DMM	Protective	Detrimental	systemic	Mouse	2018 Aug 26	Bai X
30154423	TFEB	Viral	Overexpression	Surgical - DMM	Protective	Protective	Articular cavity	Mouse	2018 Aug 28	Zhang X
30201491	FGFR1	peptide	Inhibition	Surgical - DMM	Protective	Detrimental	Articular cavity	Mouse	2018 Sep 8	Chen L
30206206	mir-128a	Viral	Overexpression	Spontaneous	Detrimental	Detrimental	Articular cavity	Rat	2018 Sep 11	Wang FS
30206206	mir-128a	Antagomir	Inhibition	Surgical - ACLT	Protective	Detrimental	Articular cavity	Rat	2018 Sep 11	Wang FS
30261507	NCOA3	sirna	Knockdown	Surgical - DMM	Detrimental	Protective	Articular cavity	Mouse	2018 Sep 27	Qi X
30287418	mir-181a-5p	ASO	Knockdown	Surgical - Cartilage Injury	Protective	Detrimental	Articular cavity	Mouse	2018 Oct 4	Kapoor M
30305454	ITGBL1	Viral	Overexpression	Surgical - DMM	Protective	Protective	Articular cavity	Mouse	2018 Oct 10	Park TJ
30305454	ITGBL1	siRNA	Knockdown	Spontaneous	Detrimental	Protective	Articular cavity	Mouse	2018 Oct 10	Park TJ
30345823	MMP13	siRNA	Knockdown	Surgical - DMM	Protective	Detrimental	Articular cavity	Mouse	2018 Oct 26	Sasho T
30405206	CHUK	BMS-345541	Inhibition	Surgical - DMM + MM	Protective	Detrimental	Articular cavity	Mouse	2018 Nov 7	Saito T
30465058	YAP1	siRNA	Knockdown	Surgical - ACLT	Protective	Detrimental	Articular cavity	Mouse	2018 Nov 21	Yu B
30496623	CASR	NPS2143	Inhibition	Surgical - UAC	Protective	Detrimental	Articular cavity	Mouse	2019 Jan 7	Wang M
30542285	RIPK1	Necrostatin1	Inhibition	Surgical - DMM	Protective	Detrimental	Articular cavity	Mouse	2018 Nov 27	Chen AM
30610922	AGTR1	losartan	Inhibition	Col11a1 haploinsufficient	Protective	Detrimental	systemic	Mouse	2019 Jan 3	Seegmiller RE
30622281	HSPA1A	Viral	Overexpression	Surgical - DMM	Protective	Protective	Articular cavity	Mouse	2019 Jan 8	Chun JS
30622281	ZFP36L1	siRNA	Knockdown	Surgical - DMM	Protective	Detrimental	Articular cavity	Mouse	2019 Jan 8	Chun JS
30659184	PBXIP1	siRNA	Knockdown	Surgical - ACLT	Protective	Detrimental	Articular cavity	Mouse	2019 Jan 18	Wang Y
30728500	CH25H	Viral	Overexpression	Surgical - DMM	Detrimental	Detrimental	Articular cavity	Mouse	2019 Feb 6	Chun JS
30728500	CYP7B1	Viral	Overexpression	Surgical - DMM	Detrimental	Detrimental	Articular cavity	Mouse	2019 Feb 6	Chun JS
30728500	CYP7B1	siRNA	Knockdown	Surgical - DMM	Protective	Detrimental	Articular cavity	Mouse	2019 Feb 6	Chun JS
30728500	RORA	Viral	Overexpression	Surgical - DMM	Detrimental	Detrimental	Articular cavity	Mouse	2019 Feb 6	Chun JS
30729704	PPARA	WY14643	Activation	Surgical - DMM	Protective	Protective	Articular cavity	Mouse	2019 Feb 7	Xia C
30731321	mir-10a-5p	Antagomir	Inhibition	Surgical - ACLT	Protective	Detrimental	Articular cavity	Mouse	2018 Dec 25	Zhang J
30731321	mir-10a-5p	agomir	Overexpression	Surgical - ACLT	Detrimental	Detrimental	Articular cavity	Mouse	2018 Dec 25	Zhang J
30745310	WNT16	Viral	Overexpression	Surgical - ACLT	Protective	Protective	Articular cavity	Mouse	2019 Feb 11	Mak KK
30791745	CD274	Antibody	Inhibition	Collagenase	Detrimental	Protective	systemic	Mouse	2019 Jan-Dec	Gao C
30791745	CD274	Antibody	Inhibition	Surgical - ACLT	Detrimental	Protective	systemic	Mouse	2019 Jan-Dec	Gao C
30826358	CORT	corstatin	exogenous	Surgical - DMM	Protective	Protective	Articular cavity	Mouse	2019 Feb 28	Li W
30842121	IL1B	CRISPR	Removal	Surgical - DMM	Protective	Detrimental	Articular cavity	Mouse	2019 Mar 6	Chen D
30842121	MMP13	CRISPR	Removal	Surgical - DMM	Protective	Detrimental	Articular cavity	Mouse	2019 Mar 6	Chen D
30842121	NGF	CRISPR	Removal	Surgical - DMM	Detrimental	Protective	Articular cavity	Mouse	2019 Mar 6	Chen D
30871292	GH1	Protein	exogenous	Collagenase	Protective	Protective	Articular cavity	Mouse	2019 Mar 1	Marsetio AF
30891766	IL4	Exogenous	recombinant	Surgical - DMM	Protective	Protective	Articular cavity	Mouse	2019 Mar 19	Sun HB
30917318	CBX4	Viral	Overexpression	Surgical - ACLT	Protective	Protective	Articular cavity	Mouse	2019 Mar 26	Liu GH
30926814	GREM1	Antibody	Inhibition	Surgical - DMM + MM	Protective	Detrimental	Articular cavity	Mouse	2019 Mar 29	Saito T
30926814	GREM1	Exogenous	recombinant	Surgical - DMM + MM	Detrimental	Detrimental	Articular cavity	Mouse	2019 Mar 29	Saito T
30932160	mir-21-5p	Antagomir	Removal	Surgical - DMM	Protective	Detrimental	Articular cavity	Mouse	2019 Apr 1	Zheng X
30933975	FOXD1	Viral	Overexpression	Surgical - ACLT	Protective	Protective	Articular cavity	Mouse	2019 Apr 1	Liu GH
30933975	YAP1	Viral	Overexpression	Surgical - ACLT	Protective	Protective	Articular cavity	Mouse	2019 Apr 1	Liu GH
30944169	mir-204	Mimic	exogenous	Spontaneous	Detrimental	Detrimental	Articular cavity	Mouse	2019 Apr 3	Kim JH
30944169	mir-204	Mimic	exogenous	Surgical - DMM	Detrimental	Detrimental	Articular cavity	Mouse	2019 Apr 3	Kim JH
30944169	mir-204	anti mir-204	Inhibition	Surgical - DMM	Protective	Detrimental	Articular cavity	Mouse	2019 Apr 3	Kim JH
30972197	DNMT3B	Viral	Overexpression	MIA	Protective	Protective	Articular cavity	Mouse	2019 Mar 15	Mao JJ
30977553	CCL25	Protein	exogenous	Spontaneous	Protective	Protective	Articular cavity	Guinea pig 	2019 Apr 29	Sittinger M
31020644	GABARAP	Protein	exogenous	Surgical - ACLT	Protective	Protective	Articular cavity	Rat	2019 Apr 24	Zhao J
31063807	NAAA	N-Acylethanolamine acid amidase	Inhibition	MIA	Protective	Detrimental	Articular cavity	Mouse	2019 May 4	Li Y
31068441	IL36A	Protein	exogenous	Surgical - DMM	Detrimental	Detrimental	Articular cavity	Mouse	2019 May 8	Spagnoli A
31068441	IL36RN	Protein	exogenous	Surgical - DMM	Protective	Protective	Articular cavity	Mouse	2019 May 8	Spagnoli A
31075235	mir-320-3p	agomir	Inhibition	Collagenase	Protective	Protective	Articular cavity	Mouse	2019 May 8	Zhang Z
31085006	mir-671	Mimics	Overexpression	Surgical - DMM	Protective	Protective	systemic	Mouse	2019 Apr 28	Zhu Y
31108241	CXCR4	AMD3100	Inhibition	Surgical - ACLT	Protective	Detrimental	systemic	Mouse	2019 May 17	Cui Z
31132406	CLK2	Lorecivivint	Inhibition	MIA	Protective	Detrimental	Articular cavity	Rat	2019 May 25	Yazici Y
31132406	DYRK1A	Lorecivivint	Inhibition	MIA	Protective	Detrimental	Articular cavity	Rat	2019 May 25	Yazici Y
31160553	WWP2	mRNA	Overexpression	Surgical - DMM	Protective	Protective	Articular cavity	Mouse	2019 Jun 3	Asahara H
31169312	mir-9-5p	Viral	Overexpression	Surgical - tibial plateau fracture	Protective	Protective	Articular cavity	Mouse	2019 Jun 6	Tan Z
31209645	AHSG	Exogenous	Overexpression	Surgical - ACLT	No effect	No effect	Articular cavity	Rat	2019 Jun 17	Nikolaou VS
31229684	RHEB	Viral	Overexpression	Surgical - DMM	Protective	Protective	Articular cavity	Mouse	2019 Jun 20	Lee SH
31253842	mir-204	Viral	Overexpression	Surgical - DMM	Protective	Protective	Articular cavity	Mouse	2019 Jun 28	Chen D
31307784	CDK9	CDK9	Inhibition	Surgical - ACLT	Protective	Detrimental	Articular cavity	Mouse	2019 Jul 13	Ma J
31310910	HDAC4	Viral	Overexpression	Surgical - ACLT	Protective	Protective	Articular cavity	Rat	2019 Jul 13	Wei XC
31350386	DGCR8	Viral	Overexpression	Surgical - ACLT	Protective	Protective	Articular cavity	Mouse	2019 Jul 26	Liu GH
31350386	DGCR8	Viral	Overexpression	Spontaneous	Protective	Protective	Articular cavity	Mouse	2019 Jul 26	Liu GH
31357086	EPAS1	siRNA	Knockdown	Surgical - DMM	Protective	Detrimental	Articular cavity	Mouse	2019 Jul 26	Li X
31357086	NEDD9	siRNA	Knockdown	Surgical - DMM	Protective	Detrimental	Articular cavity	Mouse	2019 Jul 26	Li X
31357086	AURKA	siRNA	Knockdown	Surgical - DMM	Protective	Detrimental	Articular cavity	Mouse	2019 Jul 26	Li X
31407595	MTOR	Rapamycin	Inhibition	Surgical - DMM	Protective	Detrimental	Articular cavity	Mouse	2019 Aug 13	Jin Q
31422941	mir-146b	Antagomir	Inhibition	Surgical - DMM	Protective	Detrimental	Articular cavity	Mouse	2019 Aug 17	Cai D
31495059	PTGS2	Etoricoxib	Inhibition	Surgical - ACLT	Protective	Detrimental	systemic	Rat	2019 Oct 13	Hsuan Jean Y
31496660	SOX9	Viral	Overexpression	Surgical - DMM	Protective	Protective	Articular cavity	Mouse	2019 Aug 13	Li Y
31534047	ITGB3	P11	Inhibition	Surgical - DMM	Protective	Detrimental	systemic	Mouse	2019 Sep 19	Robinson WH
31534047	CD47	Antibody	Inhibition	Surgical - DMM	Protective	Detrimental	systemic	Mouse	2019 Sep 19	Robinson WH
31534047	PTK2	PF-573228	Inhibition	Surgical - DMM	Protective	Detrimental	systemic	Mouse	2019 Sep 19	Robinson WH
31534049	ABAT	Viral	Overexpression	Surgical - MLI	Detrimental	Detrimental	Articular cavity	Mouse	2019 Sep 19	O'Keefe RJ
31534049	ABAT	siRNA	Knockdown	Surgical - MLI	Protective	Detrimental	Articular cavity	Mouse	2019 Sep 19	O'Keefe RJ
31534049	ABAT	Vigabatrin	Inhibition	Surgical - MLI	Protective	Detrimental	systemic	Mouse	2019 Sep 19	O'Keefe RJ
31653858	TNKS	XAV939	Inhibition	Surgical - DMM	Protective	Detrimental	Articular cavity	Mouse	2019 Oct 25	Kim JH
31653858	TNKS2	XAV939	Inhibition	Surgical - DMM	Protective	Detrimental	Articular cavity	Mouse	2019 Oct 25	Kim JH
31653858	TNKS	IWR-1	Inhibition	Surgical - DMM	Protective	Detrimental	Articular cavity	Mouse	2019 Oct 25	Kim JH
31653858	TNKS2	IWR-1	Inhibition	Surgical - DMM	Protective	Detrimental	Articular cavity	Mouse	2019 Oct 25	Kim JH
31696655	GRK5	Amlexanox	Inhibition	Surgical - DMM	Protective	Detrimental	Articular cavity	Mouse	2019 Nov 6	Nakashima Y
31889132	PTGER4	KAG-308	Activation	Surgical - DMM + MM	Protective	Protective	systemic	Mouse	2019 Dec 30	Saito T
31837247	FOXC1	siRNA	Inhibition	Surgical - DMM	Protective	Detrimental	Articular cavity	Mouse	2019 Dec 14	Yin Z
31735552	KAT2B	Salidroside	Inhibition	Surgical - DMM	Protective	Detrimental	systemic	Mouse	2019 Nov 14	Pan X
31841119	F2RL1	AZ3451	Inhibition	Surgical - ACLT	Protective	Detrimental	Articular cavity	Rat	2019 Dec 16	You H
31982563	HMGB1	Antibody	Inhibition	Surgical - DMM	Protective	Detrimental	Articular cavity	Mouse	2020 Jan 23	Erlandsson Harris H
31989845	SIRT1	SRT2104	Activation	Surgical - DMM	Protective	Protective	Articular cavity	Mouse	2020 Jan 28	Matsushita T
32028021	CSF2	Antibody	Inhibition	Collagenase	Protective	Detrimental	Articular cavity	Mouse	2020 Feb 3	Cook AD
32028021	CCL17	Antibody	Inhibition	Collagenase	Protective	Detrimental	Articular cavity	Mouse	2020 Feb 3	Cook AD
29564448	TNFAIP6	Exogenous	Overexpression	Surgical – DMM	Protective	Protective	Articular cavity	Rat	2018 May 1	Temenoff JS
32101625	NPY	Exogenous	Overexpression	Surgical – DMM	Detrimental	Detrimental	Articular cavity	Mouse	2020 Feb 26	Wu S
32087740	PRKAA1	Metformin	Activation	Surgical – DMM	Protective	Protective	Articular cavity	Mouse	2020 Feb 22	Lei G
32069893	NCF1	siRNA	Knockdown	MIA	Protective	Detrimental	Articular cavity	Rat	2020 Feb 13	Kim DW
15331419	IL18	Viral	Overexpression	Spontaneous	Detrimental	Detrimental	Articular cavity	Mouse	2020 Jan 29	van den Berg WB
32006659	CCL2	Antibody	Inhibition	Collagenase	Protective	Detrimental	Articular cavity	Mouse	2020 Jan 29	Meng F
32006659	CCL3	Antibody	Inhibition	Collagenase	Protective	Detrimental	Articular cavity	Mouse	2020 Jan 29	Meng F
32006659	CCR1	BX471	Inhibition	Collagenase	Protective	Detrimental	systemic	Mouse	2020 Jan 29	Meng F
32006659	CCR2	RS504393	Inhibition	Collagenase	Protective	Detrimental	systemic	Mouse	2020 Jan 29	Meng F
27808352	SULF1	Protein	Overexpression	Surgical – DMM	Protective	Protective	Articular cavity	Mouse	2016 Nov 3	Neo M
32175635	CSNK1E	PF4800567	Inhibition	Surgical – ACLT	Protective	Detrimental	systemic	Mouse	2020 Mar 16	Rong L
30143643	PGAM1	siRNA	Knockdown	Surgical – DMM	Protective	Detrimental	Articular cavity	Mouse	2018 Aug 24	Jin EJ
29991473	RSPO2	antibody	Inhibition	Collagenase	Protective	Detrimental	Articular cavity	Mouse	2018 Jul 10	Bai X
