PMID	Target	Intervention	Effect on gene product	Model	Susceptibility observed	Inferred gene effect	Delivery	Species	pub_date	LastAuthor
21911068	GSK3B	GIN	Inhibition	Spontaneous	Detrimental	Protective	Articular cavity	Mouse	2011 Aug 27	Karperien M
22057346	C5	Antibody	Inhibition	Surgical - MM	Protective	Detrimental	systemic	Mouse	2011 Nov 6	Robinson WH
22057346	C3	CR2-fH	Inhibition	Surgical - MM	Protective	Detrimental	systemic	Mouse	2011 Nov 6	Robinson WH
22057346	C5	CR2-fH	Inhibition	Surgical - MM	Protective	Detrimental	systemic	Mouse	2011 Nov 6	Robinson WH
22415882	FGF2	Protein	exogenous	Surgical - DMM	Ambiguous	Ambiguous	Articular cavity	Mouse	2012 Jul	Im HJ
22484689	CTSK	L-006235	Inhibition	Surgical - ACLT	Protective	Detrimental	systemic	Rabbit	2012 Mar 30	Duong LT
22488261	DKK1	Viral	Overexpression	Surgical - DMM	Protective	Protective	Articular cavity	Mouse	2012 Aug	Chun JS
22909215	ASIC3	APETx2	Inhibition	MIA	Protective	Detrimental	Articular cavity	Rat	2012 Aug 21	Tani T
23151456	HMOX1	Viral	Overexpression	STR/ort	No effect	No effect	Articular cavity	Mouse	2012 Nov 11	Armentano D
23233270	SOST	Antibody	Inhibition	Surgical - Meniscus Tear	No effect	No effect	Articular cavity	Rat	2013 Mar	Babij P
23298463	MMP13	CL82198	Inhibition	Surgical - MMTL	Protective	Detrimental	systemic	Mouse	2013 Jan 8	Chen D
23313477	mir-181b	Viral	Overexpression	Surgical - DMM	Protective	Protective	Articular cavity	Mouse	2013 Jan 9	Jin EJ
23666904	HSP90AB1	BIIB021	Inhibition	Exercise	Protective	Detrimental	systemic	Mouse	2013 Aug	Weinans H
23685840	TGFBR1	SB505124	Inhibition	Surgical - ACLT	Protective	Detrimental	systemic	Rat	2013 May 19	Cao X
23685840	TGFBR1	Antibody	Inhibition	Surgical - ACLT	Protective	Detrimental	Bone	Rat	2013 May 19	Cao X
23723320	TNFRSF11B	Protein	exogenous	MIA	Protective	Protective	systemic	Rat	2013 May 30	Chapman V
23954517	ADAMTS5	Antibody	Inhibition	STR/ort	Protective	Detrimental	Articular cavity	Mouse	2013 Aug 15	Visintin M
24018042	ITGA1	Viral	Overexpression	Surgical - DMM	Protective	Protective	Articular cavity	Mouse	2013 Sep 7	Jin EJ
24018042	mir-101	Viral	Overexpression	Surgical - DMM	Protective	Protective	Articular cavity	Mouse	2013 Sep 7	Jin EJ
24257023	RAC1	Viral	Overexpression	Surgical - DMM	Detrimental	Detrimental	Articular cavity	Mouse	2013 Nov 20	Ouyang HW
24257023	RAC1	NSC23766	Inhibition	Surgical - ACLT	Protective	Detrimental	Articular cavity	Mouse	2013 Nov 20	Ouyang HW
24347567	NAMPT	FK866	Inhibition	Spontaneous	Protective	Detrimental	Articular cavity	Mouse	2013 Dec 17	Chun JS
24347567	NAMPT	Viral	Overexpression	Spontaneous	Detrimental	Detrimental	Articular cavity	Mouse	2013 Dec 17	Chun JS
24529376	SLC39A8	Viral	Overexpression	Spontaneous	Detrimental	Detrimental	Articular cavity	Mouse	2014 Feb 13	Chun JS
24578232	A2M	Protein	exogenous	Surgical - ACLT	Protective	Protective	Articular cavity	Rat	2014 Jul	Wei L
24757033	GSK3B	GSK3B-i	Inhibition	Surgical - DMM	Detrimental	Protective	Articular cavity	Mouse	2014 Aug	Rowan AD
24848439	MMP13	siRNA	Knockdown	Surgical - DMM	Protective	Detrimental	Articular cavity	Mouse	2014 May 22	Takahashi K
25169730	GRN	Exogenous	Overexpression	Surgical - ACLT	Protective	Protective	Articular cavity	Mouse	2014 Aug 28	Liu CJ
25196583	mir-21	Viral	Overexpression	Surgical - DMM	Detrimental	Detrimental	Articular cavity	Mouse	2014 Sep 5	Jin EJ
25196583	mir-21	siRNA	Knockdown	Surgical - DMM	Protective	Detrimental	Articular cavity	Mouse	2014 Sep 5	Jin EJ
25219670	IL1RN	Protein	exogenous	Surgical - ACLT	Protective	Protective	Articular cavity	Rat	2014 Sep 16	Jay GD
25230745	VEGFA	Bevacizumab	Inhibition	Surgical - ACLT	Protective	Detrimental	Articular cavity	Rabbit	2014 Sep 18	Mochida J
25366485	MDK	Protein	exogenous	Surgical - DMM	Protective	Protective	systemic	Mouse	2014	Yu Y
25592743	CST3	Viral	Overexpression	Surgical - ACLT	No effect	No effect	Articular cavity	Rabbit	2015 Jan 16	Matthews GL
25732515	CXCR4	AMD3100	Inhibition	Surgical - DMM	Protective	Detrimental	systemic	Mouse	2015 Apr 24	Wei L
25892493	PLAU	Protein	exogenous	Spontaneous	Detrimental	Detrimental	Articular cavity	Rat	2015 Apr 20	Tang JG
25917196	OCRL	Viral	Overexpression	Surgical - ACLT	Protective	Protective	Articular cavity	Mouse	2015 May	Zhou Y
25921548	mir-101	Viral	Overexpression	MIA	Detrimental	Detrimental	Articular cavity	Rat	2015 Apr 29	Ao Y
25921548	mir-101	siRNA	Knockdown	MIA	Protective	Detrimental	Articular cavity	Rat	2015 Apr 29	Ao Y
25937028	CNR2	HU308	Activation	Surgical - DMM	Protective	Protective	systemic	Mouse	2015 Apr 30	Ralston SH
25969431	S100A9	paquinimod	Inhibition	Surgical - DMM	Protective	Detrimental	systemic	Mouse	2015 May 12	van Lent PL
25969431	S100A9	paquinimod	Inhibition	Collagenase	Protective	Detrimental	systemic	Mouse	2015 May 12	van Lent PL
25976248	WNT16	Viral	Overexpression	Spontaneous	Detrimental	Detrimental	Articular cavity	Mouse	2015 May 12	van der Kraan PM
25976248	WNT8A	Viral	Overexpression	Spontaneous	Detrimental	Detrimental	Articular cavity	Mouse	2015 May 12	van der Kraan PM
25976248	WNT5A	Viral	Overexpression	Spontaneous	No effect	No effect	Articular cavity	Mouse	2015 May 12	van der Kraan PM
25976248	CCN4	Viral	Overexpression	Spontaneous	Detrimental	Detrimental	Articular cavity	Mouse	2015 May 12	van der Kraan PM
26015264	IGF2	Viral	Overexpression	Surgical - DMM	Protective	Protective	Articular cavity	Mouse	2015 Dec	Zeng L
26103880	MECP2	Viral	Overexpression	Surgical - DMM	Detrimental	Detrimental	Articular cavity	Mouse	2015 Jun 24	Jin EJ
26103880	MECP2	siRNA	Knockdown	Surgical - DMM	Protective	Detrimental	Articular cavity	Mouse	2015 Jun 24	Jin EJ
26103880	mir-373	siRNA	Knockdown	Surgical - DMM	Detrimental	Protective	Articular cavity	Mouse	2015 Jun 24	Jin EJ
26103880	mir-373	Viral	Overexpression	Surgical - DMM	Protective	Protective	Articular cavity	Mouse	2015 Jun 24	Jin EJ
26103880	mir-370	siRNA	Knockdown	Surgical - DMM	Detrimental	Protective	Articular cavity	Mouse	2015 Jun 24	Jin EJ
26103880	mir-370	Viral	Overexpression	Surgical - DMM	Protective	Protective	Articular cavity	Mouse	2015 Jun 24	Jin EJ
26103880	SHMT2	Viral	Overexpression	Surgical - DMM	Detrimental	Detrimental	Articular cavity	Mouse	2015 Jun 24	Jin EJ
26103880	SHMT2	siRNA	Knockdown	Surgical - DMM	Protective	Detrimental	Articular cavity	Mouse	2015 Jun 24	Jin EJ
26108147	IL1B	siRNA	Knockdown	Surgical - DMM + ACL + MM	Protective	Detrimental	Articular cavity	Rabbit	2015 Jul 20	Liao Q
26108147	TNF	siRNA	Knockdown	Surgical - DMM + ACL + MM	Protective	Detrimental	Articular cavity	Rabbit	2015 Jul 20	Liao Q
26120493	EGFR	gefitinib	Inhibition	Surgical - DMM	Detrimental	Protective	systemic	Mouse	2014 Aug 5	Qin L
26138996	CCR2	RS504393	inhibitor	Surgical - ACLT+MM	Protective	Detrimental	systemic	Rat	2015 Oct	Beier F
26138996	EGFR	AG1478	inhibitor	Surgical - ACLT+MM	Protective	Detrimental	systemic	Rat	2015 Oct	Beier F
26241779	EPAS1	Viral	Overexpression	Spontaneous	Detrimental	Detrimental	Articular cavity	Mouse	2015 Aug 1	Chun JS
26241779	MTF1	Viral	Overexpression	Spontaneous	Detrimental	Detrimental	Articular cavity	Mouse	2015 Aug 1	Chun JS
26241779	SLC39A8	Viral	Overexpression	Spontaneous	Detrimental	Detrimental	Articular cavity	Mouse	2015 Aug 1	Chun JS
26256766	IKBKG	NBD peptide	Inhibition	Surgical - UAC	Protective	Detrimental	systemic	Mouse	2015 Aug 6	Wang MQ
26275694	GH1	AOD9604	Activation	Collagenase	Protective	Protective	Articular cavity	Rabbit	2015 Summer	Park GY
26355014	TGFBR2	losartan	Inhibition	Surgical - DMM	Protective	Detrimental	systemic	Mouse	2015 Sep 4	Xu L
26410555	ADAMTS5	Antibody	Inhibition	Surgical - DMM	Protective	Detrimental	systemic	Mouse	2015 Sep 26	Malfait AM
26445328	TNF	adalimumab	Inhibition	Surgical - ACLT	Protective	Detrimental	systemic	Rat	2015 Jul 31	Yi CQ
26531672	VEGFA	Protein	exogenous	Spontaneous	Detrimental	Detrimental	Articular cavity	Mouse	2015 Nov 4	Yang C
26639398	SIRT6	Viral	Overexpression	Surgical - DMM	Protective	Protective	Articular cavity	Mouse	2015 Dec 7	Pan Z
26673737	mir-222	siRNA	Knockdown	Surgical - DMM	Detrimental	Protective	Articular cavity	Mouse	2014 Dec 9	Jin EJ
26686833	CALCA	BIBN4096	Inhibition	Surgical - DMM	Protective	Detrimental	systemic	Mouse	2016 Jan 12	Ochi M
26728350	RUNX1	mRNA	Overexpression	Surgical - DMM + MM	Protective	Protective	Articular cavity	Mouse	2016 Jan 5	Ohba S
26837060	TGFB1	Antibody	Inhibition	Surgical - ACLT	Protective	Detrimental	systemic	Mouse	2016 Feb 2	Cao X
26851314	CXCR4	AMD3100	Inhibition	MIA	Protective	Detrimental	Articular cavity	Rat	2016 Jan 7	Ji P
26903297	XDH	febuxostat	Inhibition	High Fat Diet	Protective	Detrimental	systemic	Mouse	2016 Feb 20	Asou Y
26903440	MT1A	Viral	Overexpression	Surgical - DMM	No effect	No effect	Articular cavity	Mouse	2016 Feb 22	Chun JS
26903440	MT2A	Viral	Overexpression	Surgical - DMM	Detrimental	Detrimental	Articular cavity	Mouse	2016 Feb 22	Chun JS
27009967	SIK3	pterosin B	Inhibition	Surgical - DMM	Protective	Detrimental	Articular cavity	Mouse	2016 Mar 24	Tsumaki N
27041213	FGFR1	G141	Inhibition	Surgical - DMM	Protective	Detrimental	Articular cavity	Mouse	2016 Apr 4	Chen L
