gene_name	InjuryReconstruct.Day28vsInjury.Day28_log2FoldChange	InjuryReconstruct.Day28vsInjury.Day28_padj
DNAJC14	0.183067022267898	1
	-0.0447580955696522	1
MMP19	0.062113237964303	1
DGKA	-0.0346450627414901	1
PMEL	1.02139366561033	1
CDK2	0.0249948125822719	1
RPS26	-0.50537405841423	1
SUOX	0.171275382687148	1
	-0.0780891812171387	1
ESYT1	0.34157956911186	1
SMARCC2	0.0580835889403564	1
RNF41	0.107304404630677	1
NABP2	-0.168779228808805	1
SLC39A5	-0.526007078495649	1
ANKRD52	0.305325379915534	1
PAN2	0.114856192445889	1
	-0.231392089606349	1
STAT2	-0.169833611707352	1
APOF	-0.114527963147144	1
TIMELESS	0.209932655846797	1
MIP	0.0103804847950257	1
GLS2	0.468261964703086	1
RBMS2	-0.277969649742052	1
BAZ2A	0.234716209230838	1
	-0.119238872334509	1
	-0.132629531674716	1
NAB2	-0.0342594707181462	1
MYO1A	0.193407815329679	1
SDR9C7	0.0367973509244268	1
TAC3	0.238583757689922	1
RDH16	0.038718491799495	1
LRP1	0.574274805017706	1
MBD6	0.131939412179675	1
B4GALNT1	-0.153668347096227	1
ARHGEF25	-0.280091607838074	1
PIP4K2C	0.141158036069337	1
ARHGAP9	0.490967742891395	1
KIF5A	0.215983569462979	1
INHBE	-0.0179244766707743	1
GLI1	0.293313727014174	1
DCTN2	-0.184278272656242	1
DTX3	-0.0390748601669802	1
ATP23	0.0119382740829092	1
LRIG3	0.0180481063526071	1
SLC16A7	-0.537992417740862	1
USP15	-0.165291084616328	1
MON2	0.106149057225301	1
	NA	NA
RXYLT1	-0.0503432716714619	1
C12orf56	0.314576455520681	1
XPOT	0.049219659007483	1
LEMD3	0.225900333343926	1
	-0.18117442496425	1
IRAK3	0.289410371839965	1
HELB	-0.110900558544914	1
GRIP1	0.0961052132021732	1
IL22	0	1
	0.0155699760500513	1
	0.0433286290779945	1
NUP107	-0.0587920122017064	1
SLC35E3	-0.10102132081364	1
MDM2	0.164766549778761	1
LYZ	-0.0460210699758904	1
FRS2	-0.00932765564035158	1
CCT2	-0.246509802719679	1
BEST3	-0.0368731147842838	1
	0.55066183518021	1
CNOT2	-0.0686671352459187	1
PTPRB	-0.000884741862373805	1
ZFC3H1	-0.0581710585564688	1
TMEM19	-0.16023900268699	1
TBC1D15	-0.146684744906303	1
TRHDE	-0.518139979460686	1
KCNC2	0.0580503489835915	1
CAPS2	-0.172591153315772	1
GLIPR1	0.183538101486382	1
PHLDA1	0.125807850645079	1
NAP1L1	-0.289754457282381	1
BBS10	0.0430018708723992	1
SYT10	NA	NA
PKP2	0.0667270245841791	1
DNM1L	0.0472785050359255	1
FGD4	0.248582375719852	1
BICD1	0.349159752782062	1
IPO8	-0.148995387150769	1
ERGIC2	-0.0369447433708335	1
OVCH1	-0.562335133487337	1
FAR2	0.16347581746508	1
KLHL42	0.464260010024769	1
MANSC4	0.173209241299711	1
MRPS35	-0.0983371587174247	1
PPFIBP1	0.117371234125196	1
SMCO2	NA	NA
ARNTL2	0.211200298496731	1
MED21	-0.364307429838753	1
TM7SF3	0.228883947475804	1
FGFR1OP2	-0.0909105605256863	1
ITPR2	0.31557926241489	1
RASSF8	-0.0278904206848777	1
LRMP	-0.261279786616237	1
SOX5	-0.0352237211418079	1
C2CD5	-0.0146748887452209	1
ABCC9	-0.21021456946984	1
KCNJ8	-0.443658685594324	1
	-0.254650190071024	1
GYS2	0.229391061564081	1
GOLT1B	0.0544286655073048	1
RECQL	-0.0345663289484019	1
IAPP	-0.00549280191846854	1
PYROXD1	-0.322313973872864	1
SLCO1A2	0.162299051498301	1
SLCO1C1	-0.0176327027091621	1
AEBP2	-0.023040678306115	1
PLEKHA5	0.134181544839369	1
CAPZA3	NA	NA
PLCZ1	0.0134368087117358	1
PIK3C2G	-1.35162894513666	0.587243193230345
	0	1
SLC15A5	0	1
DERA	0.0799791307009909	1
EPS8	-0.275394676454614	1
PTPRO	-0.580006290243636	1
RERG	-0.295088036372213	1
ERP27	0.292451682716065	1
ART4	-0.787385586265899	1
	0.0231332048109836	1
SMCO3	NA	NA
	0.168147049536579	1
ATF7IP	0.223938135832057	1
GRIN2B	-0.0811591349713958	1
	NA	NA
FAM234B	0.252574521278145	1
	-0.00270466016068054	1
BCL2L14	-0.961777722078333	1
LRP6	0.158580867260538	1
	-0.0172480398456485	1
	0.145512930602189	1
TAS2R9	NA	NA
YBX3	-0.164119105942385	1
STYK1	0.282967736195433	1
	-0.327400373546162	1
	0.441496109446305	1
	-0.371188052450996	1
	0	1
	-0.176128723858957	1
	0	1
GABARAPL1	0.00383753485361961	1
OLR1	0.459133058092792	1
CLEC7A	0.248291745623646	1
CLEC1A	-0.404643071817728	1
CLEC1B	-0.0145765475729083	1
CLEC12B	0.0676158095622676	1
CD69	0.0276356201888165	1
KLRF1	-0.194492176458434	1
CLEC2B	-0.42236458619696	1
	-0.147561086807656	1
	-0.556963310855605	1
A2M	0.67850099647261	1
PHC1	-0.00980379581254097	1
	-0.0353181716296267	1
	-0.0123972693619076	1
RIMKLB	0.672361977553815	1
AICDA	0.311115232720326	1
APOBEC1	NA	NA
GDF3	NA	NA
	0	1
CLSTN3	0.32414656300961	1
C1R	-0.368353381872769	1
LRRC23	-0.669629961726579	1
GPR162	-0.302028793808007	1
P3H3	-0.257630493829099	1
GNB3	-0.576670619016982	1
CDCA3	0.255654013296605	1
USP5	0.0628993099252465	1
TPI1	-0.0903823269348487	1
CD4	-0.0226395408309886	1
LAG3	-2.07120965381496	0.000983784176349768
MLF2	-0.0973689187098473	1
COPS7A	-0.0708573928544435	1
PIANP	0	1
NCAPD2	0.244236569889709	1
GAPDH	-0.136637396147219	1
IFFO1	-0.314943411098897	1
	-0.0120831185558417	1
	0.106059777333881	1
LPAR5	-0.265910002695954	1
ACRBP	-0.154376203823481	1
ZNF384	0.237945066440136	1
VAMP1	0.186848723190348	1
TAPBPL	-0.0802281019820792	1
CD27	0.515376232570631	1
LTBR	-0.056679180450246	1
SCNN1A	0.470753979804521	1
TNFRSF1A	-0.0702073035004128	1
PLEKHG6	-0.626391723694513	1
VWF	-0.0525766615940332	1
	0.0950284340561037	1
KCNA1	0.757596224829773	1
KCNA6	0.597612669845059	1
	0	1
NDUFA9	-0.110844752467565	1
AKAP3	0.0137887180574446	1
	-0.313676643420683	1
RAD51AP1	-0.0539851687299171	1
C12orf4	-0.351883275333385	1
PARP11	-0.11861818069186	1
PRMT8	-0.011306013689623	1
CRACR2A	0.533417776128145	1
	-0.541273505261041	1
TSPAN9	0.159652608879274	1
TEAD4	0.142700046916379	1
TULP3	-0.00181166702488018	1
RHNO1	0.159190241864253	1
FOXM1	0.483508143085001	1
TEX52	-0.0310882135118183	1
NRIP2	-0.486453889303572	1
ITFG2	0.0620083794133983	1
FKBP4	-0.0542708564466862	1
	-0.799412815938762	1
DDX11	-0.247276662934231	1
WASHC1	-0.413528900853624	1
IQSEC3	0.471221547084974	1
SLC6A12	0.770408709565252	1
CCDC77	-0.0417593557721114	1
WNK1	0.214457727533915	1
RAD52	-0.146025920477934	1
ERC1	0.360532586779811	1
ADIPOR2	0.141015313124133	1
	0.240931360631977	1
