ID	OAvsNonOA_logFC	OAvsNonOA_padjFilter
ABLIM3	0.0618677027990575	0.195333565812501
ABO	-0.0138144791696844	NA
ABP1	-0.00909520980939416	NA
ABR	0.0794047618801468	0.488310745639286
ABR	-0.00217375135584152	0.967693624827123
ABR	-0.0402854311814691	NA
ABRA	-0.0245023063407395	NA
ABT1	0.0930929447358766	0.055157450425266
ABTB1	-0.220087842033076	0.00105326196801682
ABTB1	0.136916364299969	0.273767766524826
ABTB2	0.0614887075884782	0.514672467381738
ACAA1	-0.0715123715267811	0.295290214202224
ACAA2	-0.0923754544595496	0.11083960781729
ACACA	0.32016781694545	0.000272293442515247
ACACA	0.22301304765749	0.00345868492925507
ACACA	0.0532915469067134	NA
ACACB	0.539054928783633	2.33005537368675e-06
ACAD10	-0.0122982249114436	0.856907886648068
ACAD11	-0.315554357212111	0.0142278957659035
ACAD8	-0.0180253863403035	0.865507122201831
ACAD8	-0.0355784657458891	NA
ACAD9	-0.229795004844888	0.00145322541590762
ACADL	-0.215092375185028	0.0921851702194726
ACADM	0.19970938798973	0.0139179563671757
ACADM	0.408340921161079	0.000101436418107372
ACADS	0.0177473419831848	0.627110633560154
ACADSB	0.0859662995594563	0.0242455149377744
ACADVL	-0.0182173714058633	0.844752114203768
ACADVL	-0.317148141168767	0.00966219545972631
ACADVL	0.113824189307003	0.401047760313022
ACAN	0.437592779759052	0.098027548148546
ACAP1	-0.0847541868699349	0.0422125652752904
ACAP3	0.0259237474347271	NA
ACAT1	-0.233733268541013	0.0161972234800348
ACAT2	0.00690403846645893	NA
ACAT2	-0.187456964180168	0.0148652460745569
ACBD3	0.0193064703403287	0.841270551862018
ACBD4	0.0135837066850515	0.815617584731814
ACBD5	0.0152062576363869	0.714524069484419
ACBD5	-0.0253030002371544	NA
ACBD5	-0.132113808643175	0.124179255131322
ACBD6	0.0716961774408915	0.22014658829387
ACBD7	-0.0125586832364082	NA
ACBD7	0.0985557308037688	0.426267776214967
ACCN1	0.0170028162347622	NA
ACCN1	0.0165616936364383	NA
ACCN2	0.34551581962471	3.69744713812358e-05
ACCN2	-0.0607440181718095	NA
ACCN3	0.0551863615281025	0.0538636892240105
ACCN3	0.0743169978983209	0.0311077265196202
ACCN4	-0.0315971127716859	0.469169440719361
ACCN4	0.00803759482631516	NA
ACCN4	0.0329462560773379	NA
ACCN5	-0.0328307830263848	0.615531785282038
ACD	-0.172714541841826	0.039893917730827
ACE	-0.00555218191554818	NA
ACE	0.0351978618252415	NA
ACE	-0.0450583592066502	NA
ACE2	-0.00643624073976667	NA
ACHE	0.0103309070702187	NA
ACHE	0.00847123011892936	NA
ACHE	0.0297643256287259	0.448757068517331
ACIN1	-0.151788957237439	0.0774330490144128
ACLY	0.490383811841953	0.00262181313508696
ACLY	0.305241996313571	0.0159972299690011
ACMSD	-0.0985003512437563	0.0395185715934064
ACN9	0.431915870812337	5.99082283711807e-07
ACN9	0.442229971309878	0.00288088768196771
ACO1	-0.39814377703066	5.08754208773016e-07
ACO2	0.0116184842130247	0.882673848446245
ACOT1	0.00998997064021623	NA
ACOT1	0.0941735706709181	0.137242734142924
ACOT11	0.233216305385863	0.000282757573521834
ACOT11	-0.0193142320707338	NA
ACOT12	0.0421175410312493	NA
ACOT2	-0.00300478576764807	NA
ACOT2	-0.0717237288156989	0.255224243239998
ACOT4	0.0961398600130234	0.395172380890909
ACOT6	0.0170416391301478	NA
ACOT7	-0.0284098990495494	NA
ACOT7	0.025670723517468	NA
ACOT7	0.017796868146025	NA
ACOT7	-0.040752288499581	0.829615795490862
ACOT7	0.00836321148288466	NA
ACOT7	0.0652964937413927	0.602112914568663
ACOT7	0.0301120599089177	NA
ACOT8	0.0329783672712063	NA
ACOT9	-0.0231508178130122	0.753685579063708
ACOT9	-0.139081087245783	0.0545943606298232
ACOX1	-0.123423955301273	0.0589193588417438
ACOX1	-0.00879595678803113	NA
ACOX1	0.0726820901501144	NA
ACOX2	0.0913431249597911	0.0953690435821622
ACOX3	-0.0560841388913182	0.39668627346249
ACOXL	-0.0261437233946795	NA
ACP1	0.138969661280342	0.0521887902373908
ACP1	-0.305065251178837	0.000599002222987151
ACP2	0.200255462807749	0.00831675011959457
ACP5	0.117967839204473	NA
ACP6	-0.116463815843199	0.0311956012402991
ACPL2	1.55712405398804	3.30411514938482e-07
ACPL2	1.58416997809258	5.35787586266836e-08
ACPP	-0.00533163432681505	NA
ACPT	-0.0726650778710365	0.0749875449072188
ACPT	0.0200194220937542	NA
ACR	0.00610021282509976	NA
ACRBP	-0.0104844493983638	NA
ACRC	-0.0537719391920861	0.2713836738905
ACRV1	-0.0399348943898268	NA
ACRV1	-0.0385867052138806	NA
ACSBG1	0.0105566280203009	NA
ACSBG2	0.0111927869551156	NA
ACSF3	0.000716212845532915	NA
ACSL1	0.0632784314504944	0.178177805119591
ACSL3	-0.369824586889992	0.00984991742628189
ACSL3	-0.0592576955056074	0.450151018919776
ACSL3	-0.119462817326545	0.364917153760018
ACSL4	-0.325847518524859	2.39765287452617e-05
ACSL4	-0.0544059841097813	0.389642710479221
ACSL4	0.00233416228291272	NA
ACSL4	-1.70697669422874	1.02055205525224e-08
ACSL5	-0.0344127834784143	NA
ACSL5	0.0773157707530956	NA
ACSL5	-0.0151273506516247	NA
ACSL5	0.00308202351986964	NA
ACSL5	-0.0301464329303238	0.575255381585264
ACSL6	-0.010860271783053	NA
ACSL6	0.0113470246097878	NA
ACSL6	-0.011194909915206	NA
ACSL6	-0.00884401806980417	NA
ACSM1	0.00807861026143541	NA
ACSM2A	0.0208026515368953	NA
ACSM2B	-0.0027696171615581	NA
ACSM2B	-0.0439635079225651	NA
ACSM2B	-0.0327960199338566	NA
ACSM3	0.0199961057305131	0.703342411129825
ACSM3	-0.0228728464442645	NA
ACSM3	0.0909536442676568	0.0296597749585937
ACSM4	-0.0517945880294279	NA
ACSM5	-0.027375885917496	NA
ACSM5	-0.00313389939671538	NA
ACSM5	-0.0132944904272216	0.690813141048682
ACSS1	-0.104775166182998	0.0416660379722059
ACSS2	-0.0101006240246067	0.882198724377785
ACSS2	-0.000625821036734031	NA
ACSS2	-0.0655410311525415	0.446920049294963
ACSS2	-0.0834698992111687	0.322436930413274
ACSS2	-0.0063293968460485	NA
ACSS3	0.00926932714807283	NA
ACTA1	0.032556124279151	NA
ACTA2	-0.118477311282473	0.608385243196983
ACTB	0.276658301840174	0.0289613371551453
ACTB	0.770754065380219	0.00261421374090596
ACTB	0.276418451429455	0.0581127258877976
ACTC1	-0.150266112332632	0.539440488458387
ACTC1	0.0270250776230352	NA
ACTG1	0.128407914594469	0.293283500319932
ACTG1	0.915728125900499	0.0571235157204934
ACTG2	-0.00789658849440755	NA
ACTL6A	0.27325895943634	0.00559296776631856
ACTL6A	0.198674471017101	0.0167633220131729
ACTL6B	-0.0156450558100474	NA
ACTL7A	-0.0279136997100808	NA
ACTL7B	-0.357320004743079	2.114953927501e-07
ACTL8	-0.0420638500114361	0.241513972504114
ACTN1	-0.0178140685853698	0.905865269145842
ACTN2	-0.0779334916630035	0.0229444662082436
ACTN3	0.0323231176150864	NA
ACTN4	0.0375048727864442	0.783483267613077
ACTR10	0.154930734594242	0.0239622431805831
ACTR1A	0.201541143526958	0.0650922252469056
ACTR1B	-0.0338349880720727	0.605949015006686
ACTR2	0.190091501822524	0.0591916656806074
ACTR3	-0.233759183602876	0.0040132476425093
ACTR3B	-0.0625188134833632	0.247539524850118
ACTR3B	0.00682113511468785	NA
ACTR3B	-0.0382616731079137	0.470451274622321
ACTR3B	0.0281171577877837	NA
ACTR5	0.0325822768211497	0.623967470079898
ACTR6	-0.244769450038275	0.000166834206013803
ACTR8	0.0303362468282602	0.671754258061496
ACTRT1	-0.0406602334120656	0.198140587806655
ACVR1	-0.564962500295028	0.000325219481676253
ACVR1B	0.00343695569997138	0.938046175860817
ACVR1B	-0.0298848326873928	NA
ACVR1B	-0.273481906310247	1.6595884881759e-06
ACVR1B	-0.0172837027566564	NA
ACVR1C	-0.0200725486295772	NA
ACVR2A	0.0842687532299671	0.0263056262063012
ACVR2A	0.188311658154214	0.00161549435107621
ACVR2B	-0.0469616171719887	NA
ACVR2B	0.00686842328987947	NA
ACVRL1	-0.0185235487423618	NA
ACY1	0.227528861440922	0.00200480511640404
ACY3	-0.0229592185543783	NA
ACYP1	-0.0507100368953992	0.302608328532221
ACYP1	-0.0484216969777282	0.778938879854875
ACYP1	-0.0259834514010437	NA
ACYP2	0.0196821596741747	0.64211932272491
ACYP2	0.3708974825264	0.000308994385438892
ADA	0.0341554983466379	0.273541471730728
ADAD1	-0.00766682403724417	NA
ADAD2	0.0100541374287628	NA
ADAL	0.0232793756864096	0.752096326400694
ADAM10	-0.014844786881909	NA
ADAM10	-0.210916665184395	0.00145597746787495
ADAM11	-0.0285668637937881	0.579631435752238
ADAM12	-0.0145799260336679	NA
ADAM12	0.0323130347975908	0.503970366312524
ADAM12	-0.0227165970610139	NA
ADAM15	0.0231192331100525	0.782837745999851
ADAM15	0.170516804017728	0.238246375393833
ADAM15	-0.0403099143230428	0.529548017594394
ADAM15	0.085909851618073	0.400746148228086
ADAM17	-0.136483062601177	0.0194982745016337
ADAM17	-0.105386604345615	0.0863699882197437
ADAM18	-0.0100709680321662	NA
ADAM19	-0.0353560264087713	0.422611174917752
ADAM19	0.00247483397223203	NA
ADAM19	-0.712544831165923	6.52891849937243e-08
ADAM2	0.0049811237136197	0.905858989287378
ADAM20	0.00769726177103003	NA
ADAM21	-0.00795888236026787	NA
ADAM22	-0.00672838525932296	NA
ADAM22	0.0334433539475478	NA
ADAM22	0.0225101186960046	0.613067223065827
ADAM23	-0.0143654659825101	NA
ADAM28	0.0113154284604375	NA
ADAM28	-0.0513585954551132	0.185579510827652
ADAM28	-0.0142568029979104	NA
ADAM29	0.0143133943321061	0.812567502433752
ADAM30	0.00780725834083817	NA
ADAM32	-0.00486404574324162	NA
ADAM32	0.00641657124338391	0.892245016330035
ADAM32	-0.0186025814101081	0.66335355771478
ADAM32	-0.0068882203989391	NA
ADAM33	-0.010095494678974	0.829747083826931
ADAM33	0.000224425209403911	0.996492655443814
ADAM3A	0.00231763239561378	NA
ADAM3A	-0.0231953578064577	0.625927984944592
ADAM3A	-0.00585275064407842	NA
ADAM5	-0.0372467194940063	NA
ADAM5	-0.0175451717122108	NA
ADAM5P	0.00640885852909179	NA
ADAM6	0.010112738018436	NA
ADAM6	-0.0151908912001382	0.726455834707234
ADAM7	-0.02789883266699	0.441803997981207
ADAM8	0.00697929683095122	NA
ADAM9	-0.0815049557176701	0.202532400502647
ADAMDEC1	0.033276391334323	NA
ADAMDEC1	0.0462922927367302	NA
ADAMTS1	-1.57846866804273	1.13027462046095e-07
ADAMTS10	0.0224040163940771	NA
ADAMTS12	0.00249802707315716	NA
ADAMTS13	-0.0505978561718097	0.40128024464653
ADAMTS13	0.00849589859899869	NA
ADAMTS13	0.00619922667581729	0.918688526408726
ADAMTS14	-0.0239477691681431	NA
ADAMTS14	0.0166214295855429	NA
ADAMTS14	0.0308300015420189	NA
ADAMTS15	0.038609041625965	NA
ADAMTS16	-0.00278925409091269	NA
ADAMTS17	0.00654602080170807	NA
ADAMTS18	-0.00186603699422783	NA
ADAMTS18	-0.0110148959726208	NA
ADAMTS19	0.00989544592660163	0.908741611559081
ADAMTS2	0.20771275827315	0.000603749616125555
ADAMTS2	0.129784950381288	NA
ADAMTS20	0.0096690364246852	0.859263830915035
ADAMTS20	-0.00740254757629177	0.896328864882957
ADAMTS20	0.016788972771371	NA
ADAMTS3	0.0430820603390352	0.509918587776665
ADAMTS4	-0.15871152114067	0.310025134500581
ADAMTS5	-1.02793945179755	8.01587823915367e-05
ADAMTS6	0.615964032170572	3.27352555005945e-06
ADAMTS7	-0.0141909562243727	NA
ADAMTS8	0.0193029459089056	NA
ADAMTS9	-0.83034715535269	8.58267143882787e-08
ADAMTSL1	-0.046366345188626	NA
ADAMTSL1	-0.00233071655646633	NA
ADAMTSL1	-0.0459004762829522	NA
ADAMTSL1	0.00501743248459441	0.916287890905049
ADAMTSL1	-0.0331624102163355	NA
ADAMTSL2	0.606212608290853	0.18119024169805
ADAMTSL3	0.209307292837583	0.0807774951125878
ADAMTSL4	-0.11256911189157	0.0715003355832144
ADAMTSL4	-0.00518184140617173	0.958681803676664
ADAMTSL4	-0.00557250436696943	0.961580961597183
ADAMTSL5	-0.000484740455370058	0.990758025858809
ADAP2	0.0657532773713747	0.215925144766936
ADAR	-0.0355468721857957	0.692781826024615
ADAR	-0.0109996322178789	NA
ADAR	-0.0595279614370749	0.379753073582795
ADARB1	0.210792277269642	0.0162983500536038
ADARB1	0.340677919504728	0.0092949111185934
ADARB1	0.0358747989868347	0.36224358013541
ADARB1	0.455412015208617	0.012476784868408
ADARB2	-0.0483983780325179	0.340056201138255
ADAT1	0.249321188423992	0.0253948534071686
ADAT3	0.0108899822628752	NA
ADC	-0.170959782111312	0.0990522805581271
ADCK1	0.153506137938915	0.000178421908481764
ADCK2	-0.212907066875287	0.000980059656242591
ADCK4	-0.00244637389277536	0.979236585596953
ADCK5	0.094957350281299	0.0808571321113208
ADCY1	0.0694491697315502	0.146139428122805
ADCY1	0.0379513084106273	NA
ADCY2	-0.151650226035301	0.00416935531769273
ADCY3	0.0598532358769699	0.734431111809904
ADCY4	0.0501273841537282	NA
ADCY5	0.0128972164708552	NA
ADCY6	0.0899077272642064	0.0747116948793647
ADCY6	0.105742238108952	0.0230489760239192
ADCY7	0.00907223541337032	0.88720143058828
ADCY8	-0.00306808853040685	NA
ADCY9	0.322714727510084	1.72120942096484e-05
ADCYAP1	-0.0468297193184881	0.279813736149502
ADCYAP1R1	0.0128344804089124	NA
ADD1	0.122939588665104	0.0300170813341914
ADD1	0.303980515668387	0.00147899033390197
ADD2	-0.0103526305555386	NA
ADD2	0.0473070644346105	NA
ADD2	-0.021697915648824	NA
ADD2	0.00378368305698285	NA
ADD3	-0.0487470728515635	NA
ADD3	0.028451280410752	NA
ADD3	0.456147977367872	0.00233926450023018
ADD3	0.278928059174654	0.00450600774645367
PLIN2	-0.878855038615317	1.99944777658545e-05
PLIN2	-0.575574757264373	7.08798556750666e-05
ADH1A	-0.0121854203832514	NA
ADH1B	-0.00381850525576599	NA
ADH1C	-0.0261715320929037	NA
ADH4	-0.00571054452955977	NA
ADH4	-0.0149895903533599	NA
ADH5	0.0970387216101223	0.0181038651663264
ADH6	-0.0144976426866492	NA
ADH7	-0.0395297753241701	NA
ADHFE1	0.0668192203897693	0.66274257912845
ADHFE1	-0.025927823521295	0.84356761470547
ADI1	0.0734361059651469	NA
ADIG	0.00657308458263373	NA
ADIPOQ	0.0490970311085466	NA
ADIPOR1	0.0713130052161102	0.248987703281573
ADIPOR1	-0.165950073091444	0.0578620182902352
ADIPOR2	0.161465176826129	0.05464323335781
ADK	-0.734947031263479	8.72032800394912e-07
ADK	-0.125047606463093	0.0313660198681539
ADK	0.0330040887442546	NA
ADK	-0.582873886207136	4.12946737978719e-05
ADM	-2.10159040052291	8.80079145735493e-07
ADM2	-0.0730184494705686	0.177110013116374
ADNP	-0.0288395274398319	0.706793201743827
ADNP	-0.00513157304486178	0.947109987540212
ADNP2	-0.181643997800915	0.00452918435623353
ADO	0.332740795448881	0.000441069629781839
ADORA1	0.0140108754038595	NA
ADORA1	0.0198199916901585	0.719762355978361
ADORA1	-0.253724610035658	0.0495375475938068
ADORA2A	-0.0471920733781621	0.324761974831888
ADORA2B	-0.136380509302176	0.168536141860914
ADORA3	0.00718364970042984	NA
ADORA3	-0.0178144050987612	0.777654742220948
ADPGK	-0.111950858310434	0.0960205848031458
ADPRH	0.00493778311270798	0.949252569897915
ADPRHL1	0.000396385920525155	NA
ADPRHL1	0.0773724213502556	0.157457656580599
ADPRHL1	-0.00170437357617903	NA
ADPRHL2	-0.271776995979489	0.000270170287052635
ADRA1A	0.0152458438563698	NA
ADRA1A	0.0015468965772456	NA
ADRA1A	-0.00995414529675465	NA
ADRA1A	-0.00583265045398651	0.916559917510599
ADRA1A	0.000844677414559847	NA
ADRA1B	0.0379020929494605	0.591522994982895
ADRA1D	-0.025753134806191	NA
ADRA2A	-0.0780787722065863	0.448068355264155
ADRA2B	-0.0139838630938947	0.799928213597171
ADRA2C	7.06533516918739e-05	NA
ADRA2C	-0.0229015281195002	0.538479737400963
ADRB1	-0.000540823339089336	NA
ADRB2	0.360326803509844	0.0651495264861622
ADRB3	-0.00431707090285816	NA
ADRBK1	0.0168452446030827	NA
ADRBK2	0.0101006355821793	NA
ADRM1	0.0415655958184873	0.670674018525655
ADRM1	0.193247278603382	0.124627316121579
ADSL	0.0722634742806783	0.344152337970167
ADSS	0.592980757088103	8.68720867365155e-08
ADSS	0.0883711601573438	0.41823430344029
ADSSL1	0.0021798029398159	NA
ADSSL1	-0.435597472605409	0.0719163475504019
ADSSL1	0.0669577150734018	0.523096820840701
AEBP1	0.253306766744878	0.400597577111491
AEBP2	-0.201477816706834	0.0244770176115124
AES	0.225905191056336	0.0592481932282063
AES	0.442739739880956	0.0133784354234784
AES	0.0411024192801328	NA
AFAP1	0.010991176760184	NA
AFAP1	0.106046345079985	0.151853301474393
AFAP1	-0.0218062591476897	NA
AFAP1L1	-0.0464684570234111	0.249158768935434
AFAP1L2	-0.0684843632153838	0.668066388869028
AFAP1L2	-0.0389578806625153	0.750013558950258
AFAR3	0.0430832491985642	0.410314717149811
AFARP1	0.0262123361331641	NA
AFARP1	-0.00543293652828414	NA
AFF1	-0.0363702912506598	0.662046543665576
AFF1	-0.533326967947945	0.000189987227462783
AFF2	0.0323305785820143	NA
AFF3	1.15378202265947	9.58469088166528e-06
AFF3	0.0433759440571766	NA
AFF4	-0.188001802991886	0.00439242318605492
AFG3L1	0.0973021714358282	0.327351051966784
AFG3L1	0.0126639704182079	NA
AFG3L1	0.0205182888108189	NA
AFG3L1	0.000438850733393892	NA
AFG3L2	0.007882779794814	0.909169743332069
AFM	-0.011189989175767	NA
AFMID	-0.275539553692326	0.0303733673340189
AFMID	0.0211979769379882	0.635887545143383
AFP	0.00361453411485346	NA
AFTPH	-0.108766440618226	0.170933299182558
AFTPH	-0.720050516106024	8.6635272039362e-06
AFTPH	-0.135706439327613	0.0139019850655165
AGA	0.520184207327336	1.99944777658545e-05
AGAP1	0.0477738319555794	NA
AGAP1	0.0236075861909084	NA
AGAP2	-0.0253123400592719	NA
AGAP3	0.025430412534833	NA
AGAP3	0.0128397969386675	0.826602057780165
AGAP7	-0.118738321171612	0.182251047462354
AGBL1	0.00457041875918396	NA
AGBL1	0.0349260710352457	NA
AGBL2	-0.0430127277077883	NA
AGBL3	0.0224027074759414	NA
AGBL4	-0.0562970677446515	NA
AGBL5	0.366000901579556	3.64373746175942e-05
AGBL5	-0.0673671317252502	0.421965087550284
AGC1	0.228588598161839	0.169281508733191
AGER	0.0273148611932381	0.744546223615375
AGER	0.0104241573411956	NA
AGER	0.0106839835219494	0.831346122053409
AGFG2	0.0361331777104565	NA
AGFG2	0.055384354389223	0.238297712597792
AGGF1	0.135215398544666	0.0503339582049349
AGGF1	0.027426192416141	0.575255381585264
AGK	0.131986557002264	0.00954835288987617
AGL	0.0103302693422238	NA
AGL	0.0171199707846634	NA
AGL	-0.00179244757012231	NA
AGL	0.396969283415151	0.000475072673899763
AGL	-0.0358536950843273	NA
AGL	0.0409660430495125	NA
AGL	0.0356235218673548	NA
AGL	0.151323706757245	0.00519102177075239
