gene_name	Injured_MRL_MpJ_2_weeks_post_injuryvsUninjured_MRL_MpJ_2_weeks_post_injury_log2FoldChange	Injured_MRL_MpJ_2_weeks_post_injuryvsUninjured_MRL_MpJ_2_weeks_post_injury_padj
Sec24b	0.0572976387831746	1
N4bp3	0.12577910905893	1
Rmnd5b	-0.0820611808402881	1
Nhp2	-0.00408565737445602	1
Vps9d1	-0.110937478277479	1
Zfp276	-0.0547632188468785	1
C1ql4	0.145858182949995	1
Mfsd10	0.0328619060667644	1
Luzp1	0.190901942978675	1
Slc13a2	0.419327161341201	1
Kctd10	0.109361012349362	1
Poldip2	0.0201591652964684	1
Sebox	-0.00226889190178257	1
Ift20	0.0474792049364354	1
Col6a1	0.883588440837091	0.328391313917711
Pcbp3	0.110310429679343	1
Lgals9	0.126764509595602	1
Araf	-0.080719146210546	1
Cfp	-0.0572373145689346	1
Timp1	0.642582343825828	0.993948865140491
Uxt	-0.102341169776834	1
Cnnm3	-0.170110247094583	1
Lman2l	0.0739036830926179	1
Mcm3ap	-0.146326009794717	1
Pcnt	0.0172574735874327	1
Ftcd	0.2400206520453	1
Mxd1	0.00443302001650711	1
Gmcl1	-0.0108180894913312	1
Snrnp27	0.0192186637225176	1
Oas1c	0.293676772158407	1
Oas1h	0	1
Ocrl	0.0783032389578481	1
Calm1	-0.0515464755286691	1
Agpat3	-0.200974877875776	1
Slc26a3	0.437442830968411	1
Sema6b	0.195227667639883	1
Uhrf1	-0.00327223471529498	1
Dpp9	-0.054728569888643	1
Ramp2	0.251596407945916	1
Lsr	0.080508714877413	1
Gramd1a	-0.00808306504856576	1
Hpn	-0.00913873210235919	1
Gabrg1	0.660071401776731	1
Ckb	0.00503959414672836	1
Sp1	0.116991468903592	1
Itgb7	-0.282952359129374	1
Myg1	0.134250458824806	1
Rarg	0.172072802303295	1
Pfdn5	-0.0375567480073237	1
Efnb2	-0.0711399868470761	1
Rrp15	0.0820890640656189	1
Rnd2	0.261799615363375	1
Srr	0.253425322239932	1
Sync	-0.165475442114041	1
Fndc5	-0.176909482796738	1
Acp5	-0.0502224865063789	1
Cnn1	-0.436201157842887	1
Fbxo9	-0.101375257704978	1
Vps50	0.0244921653909133	1
Hars	0.0192079919136554	1
Zmat2	0.00541292196987351	1
Ube2c	-0.00332077817943415	1
Smg5	-0.0078353967916408	1
Cct3	0.0524869652400984	1
Glmp	0.0401343170723787	1
Mef2d	-0.0671399633652914	1
Tmem79	-0.467550633591996	1
Snd1	-0.060810110991199	1
Col18a1	0.563003493632571	1
Slc19a1	0.0892597984648881	1
Kpnb1	0.0548282276243114	1
Npepps	-0.0661865540094417	1
Tbx21	-0.196684701464446	1
Mrpl10	0.14508845658101	1
Cyp51	0.0982457381236474	1
Tcf25	-0.00853633603764258	1
Tubb6	0.392041960162294	1
Def8	0.108437961927691	1
Meox1	0.209110126666361	1
Sost	-0.150869972490432	1
Nkx2-1	0.0409440973617626	1
Pax9	0.0329700626202935	1
Irx2	-0.145166921603145	1
Col1a1	0.186466407776446	1
Itga3	0.408398037992832	1
Sgca	-0.15548082669762	1
Dlx3	0.17233897402017	1
Foxm1	0.0273511201124024	1
Itfg2	-0.0738311266080512	1
Nrip2	0.236002358555811	1
Tulp3	0.0729462007904294	1
Gtf2h4	-0.23280781510083	1
Tubb5	0.102672661172259	1
Ell2	0.0388854101594614	1
Jup	0.0563283917619924	1
Fkbp10	0.261880345399211	1
Klhl10	0.363512129125812	1
Mnx1	NA	NA
Nom1	0.154011444223598	1
Ergic1	-0.000880537749666668	1
Tnk1	0.0273619397428287	1
Acap1	0.000702774722727834	1
Tcea3	-0.133173333583808	1
Csn3	-0.288402421406074	1
Ifrd1	-0.176469348956368	0.917598151987014
Stk38l	0.219585581252897	1
Brpf1	-0.0214364318960995	1
Akr1b3	-0.102333215394035	1
Hoxc13	-0.217274574574672	1
Hoxc11	-0.138554266782743	1
Hoxc8	0.136544577914552	1
Hoxc6	-0.0101335859016219	1
Gstt1	0.158727261632074	1
Gstt3	0.275270012496341	1
Ddt	0.0632780393664482	1
Tat	0	1
Marveld3	0.194451765944905	1
Ddx18	0.109451442616158	1
Ubl3	-0.0720631941140863	1
Gramd3	-0.122427871009198	1
Eef1e1	0.319918769771768	0.878096394806324
Akt1	0.115492014504744	1
Cldn15	-0.0153437883357343	1
Il16	0.0611207920966298	1
Tcirg1	0.0153050076762708	1
Naglu	0.12327859957489	1
Coasy	-0.047267551194304	1
Smo	0.178422222297185	1
Tspan33	0.0161500424072452	1
Crnkl1	0.010682156138124	1
Rin2	0.227277724436097	1
Folh1	-0.981712615425375	0.979293407810024
Chordc1	0.0341453812545881	1
Rtcb	0.0549659772527517	1
Pwp1	-0.061237136461768	1
Fbxo7	-0.0774311995148423	1
Capns1	-0.00678448305013815	1
Lrp3	0.0828738487332759	1
Dsg4	0.00523657424847772	NA
Evx2	-0.347627596098982	1
Hoxd13	-0.498028982968647	1
Hoxd12	NA	NA
Folr1	0.132318220860499	1
Clpb	-0.0724520258147665	1
Sept7	0.0367565840142221	1
Zdhhc4	-0.0616346428769228	1
Rac1	-0.0385125657424536	1
Nup214	-0.124640468499645	1
Aif1l	0.321085362191182	1
Cpa3	0.232433087308523	1
Ltbp1	0.167449800224824	1
Ugp2	-0.213002935536727	1
Kcnh6	0.0530850274919367	1
Trmt1	-0.124123521031534	1
Nacc1	-0.00337559487948718	1
Nfix	0.0188900877955343	1
Slc1a5	0.0378069950815686	1
Uba1	-0.0745331515948216	1
Vwf	-0.0522328705724285	1
Siae	-0.121997794899982	1
Vsig2	-0.234367203823916	1
Esam	0.368505251765277	0.855306202001268
Spa17	-0.0249876342787688	1
Fam50a	0.0175122540252924	1
Emd	-0.0102496318560367	1
Taco1	-0.0335375287654032	1
Grik3	0.312195625967743	1
Gria3	-0.161872670010732	1
Npas1	-0.60690988857373	1
Sipa1l2	-0.141501408367203	1
Ap4e1	-0.014962520201918	1
Blvra	0.167086102931514	1
Pdzd4	0.157566344908877	1
Srpk3	-0.158608764005126	1
Idh3g	-0.113223651525319	1
Pnck	0.0474057646400716	1
Ssr4	0.100876318901428	1
Bcap31	0.0134778894696566	1
Fam98a	0.0437342599060351	1
Ltbp2	0.476270643233485	1
Kmt2a	-0.131647726390277	1
Ift46	-0.0728487452536287	1
Tmem25	0.0154963734632314	1
Cd3g	0.235431128864043	1
Trappc6a	0.0829673556163956	1
Supt6	-0.0169778504950969	1
Spag5	-0.0155589912704766	1
Foxn1	0.704397621699257	1
Unc119	-0.0667186933413327	1
Rab34	0.342445069355136	1
Sdf2	-0.0946501077741092	1
Ccne1	0.112918804352766	1
Hsf2bp	-0.733060692716798	1
Bbc3	0.400054145195377	1
Mybpc3	0.190124803108576	1
Psmc3	-0.0206414594848445	1
Acp2	0.29474989205668	1
Rapsn	-0.239410480638507	1
Slc39a13	0.000156103254306119	1
Celf2	-0.112778216300063	1
Nr1h3	-0.328849013809364	0.98834370330616
Ddb2	-0.0342407066567805	1
Spi1	0.025458376685248	1
Sf3a1	-0.0445183054673225	1
Stat6	-0.0412247608928794	1
Clgn	0.351168269494589	1
Napsa	-0.0581636455412916	1
Vrk3	-0.0805133196443152	1
Smg9	-0.0487288006179598	1
Paxip1	0.0427614110211146	1
Rmnd5a	-0.168068369512217	1
Mov10	0.0383979037289108	1
Ppm1j	0.0581373336721255	1
Rhoc	0.255695928502571	1
Prr27	NA	NA
