gene_name	Injured_C57BL_6_1_week_post_injuryvsUninjured_C57BL_6_1_week_post_injury_log2FoldChange	Injured_C57BL_6_1_week_post_injuryvsUninjured_C57BL_6_1_week_post_injury_padj
Vps9d1	-0.00727651655387246	1
Zfp276	0.0975207249167105	1
C1ql4	0.0159739379027357	1
Mfsd10	0.285993365317256	1
Luzp1	-0.359307303586755	0.968827733550204
Slc13a2	0.822138923775201	1
Kctd10	0.0350815719284409	1
Poldip2	-0.0714722039037632	1
Sebox	0.00217529546270979	1
Ift20	0.045729105063119	1
Col6a1	-0.450407557712422	1
Pcbp3	0.193364197399886	1
Lgals9	0.174946141420024	1
Araf	-0.00389592482018034	1
Cfp	0.16065482031451	1
Timp1	-0.241144429906085	1
Uxt	-0.180063309231683	1
Cnnm3	0.113097487473317	1
Lman2l	-0.0325788775578398	1
Mcm3ap	0.0559409538242644	1
Pcnt	0.0465425793687753	1
Ftcd	-0.545069639670006	1
Mxd1	0.133498376143064	1
Gmcl1	0.0394368556762106	1
Snrnp27	-0.127946761414587	1
Oas1c	0.059140777530743	1
Oas1h	0.0219690690623866	1
Ocrl	-0.0948981394232457	1
Calm1	0.0501216858245444	1
Agpat3	-0.0545557005246292	1
Slc26a3	0.418657172650648	1
Sema6b	0.00261572486141683	1
Uhrf1	0.192498481736791	1
Dpp9	0.0148481609040278	1
Ramp2	-0.0393182710168587	1
Lsr	-0.0934973570090873	1
Gramd1a	0.0210159068161596	1
Hpn	-0.00609280268142417	1
Gabrg1	-0.357834964055023	1
Ckb	0.0309000882009961	1
Sp1	0.0305563653766131	1
Itgb7	0.230934541923227	1
Myg1	0.289407144676074	0.685842236977223
Rarg	-0.161291666198713	1
Pfdn5	0.073508112860148	1
Efnb2	-0.119743920230119	1
Rrp15	0.0915645190593867	1
Rnd2	-0.193117785168514	1
Srr	-0.042192736665688	1
Sync	-0.273683857104575	1
Fndc5	0.00458266275938884	1
Acp5	-0.00462579731393391	1
Cnn1	0.183263898979179	1
Fbxo9	0.077725347450005	1
Vps50	-0.0209694775087499	1
Hars	0.211652374986676	0.0376363350531117
Zmat2	0.0177591764390293	1
Ube2c	0.281326905172134	0.851458098040313
Smg5	-0.0550189511208742	1
Cct3	-0.0552472506573656	1
Glmp	-0.00168021288931066	1
Mef2d	-0.0305392107958229	1
Tmem79	-0.304982138073823	1
Snd1	-0.0349808891589449	1
Col18a1	-0.321437355636794	1
Slc19a1	-0.284635695621018	1
Kpnb1	0.0294299434223366	1
Npepps	0.0283380522624664	1
Tbx21	0.201427969270861	1
Mrpl10	0.135282795456012	1
Cyp51	-0.104294071178638	1
Tcf25	-0.0303732918393309	1
Tubb6	-0.295730327048359	1
Def8	0.167741884619481	1
Meox1	-0.366311532945767	1
Sost	0.163913872256066	1
Nkx2-1	-0.243153239507659	1
Pax9	-0.286298585452496	1
Irx2	-0.113064553131524	1
Col1a1	-0.0639473292287851	1
Itga3	-0.318933740600185	1
Sgca	-0.150441471983879	1
Dlx3	-0.0429601873280774	1
Foxm1	0.149720628992778	1
Itfg2	0.0737767517861618	1
Nrip2	0.132971391945212	1
Tulp3	-0.242086731681606	1
Gtf2h4	0.0752863432011247	1
Tubb5	0.201540153690491	0.926664188849809
Ell2	0.112453538998723	1
Jup	0.138473270753175	1
Fkbp10	-0.420289295317898	0.964078885356795
Klhl10	-0.033720236480229	1
Mnx1	NA	NA
Nom1	0.110498923043512	1
Ergic1	-0.158792794619638	1
Tnk1	0.690210179041967	1
Acap1	0.142084208166741	1
Tcea3	-0.184097673621193	1
Csn3	0	1
Ifrd1	0.0834633175395959	1
Stk38l	-0.156858934628228	1
Brpf1	0.0247288369610623	1
Akr1b3	-0.0274629541934564	1
Hoxc13	-0.0665879576596547	1
Hoxc11	0.127443410690383	1
Hoxc8	-0.234144415580822	1
Hoxc6	-0.248259330455315	1
Gstt1	-0.345613764137252	1
Gstt3	-0.369943670564429	1
Ddt	-0.11152793163483	1
Tat	0	1
Marveld3	0.897385218726527	1
Ddx18	0.131261440965212	1
Ubl3	-0.0723825699918328	1
Gramd3	-0.00862461107188172	1
Eef1e1	0.0285755778418122	1
Akt1	0.0305005396345001	1
Cldn15	0.226658379401628	1
Il16	0.0979930486089987	1
Tcirg1	0.158716087402898	1
Naglu	0.0566071284933008	1
Coasy	0.117333599938826	1
