gene_name	Injured_STR_ort_1_week_post_injuryvsUninjured_STR_ort_1_week_post_injury_log2FoldChange	Injured_STR_ort_1_week_post_injuryvsUninjured_STR_ort_1_week_post_injury_padj
Gnai3	0.114239367045936	0.225101106949088
Pbsn	NA	NA
Cdc45	-0.171929969511144	0.315021285879088
Scml2	-0.0448223486750378	0.967821772913265
Apoh	-0.230977602075206	0.820151428416347
Narf	-0.299036241264708	0.0710512218415928
Cav2	0.476256087167716	0.0437197226554549
Klf6	0.139901805269047	0.249371641577889
Scmh1	0.137994654671884	0.612324365941001
Cox5a	-0.439998578694572	0.0401049767783256
Tbx2	-0.604655617754653	0.000460953211547843
Tbx4	0.387210749219504	0.228663297871773
Zfy2	NA	NA
Ngfr	0.78429152853714	0.124036799299179
Wnt3	-0.0760621585600202	NA
Wnt9a	1.03486740066528	1.47643035470105e-05
Fer	0.249598091292835	0.233040212553743
Xpo6	0.077203343726438	0.720665703712519
Tfe3	0.354321117201106	0.0174435470831356
Axin2	-0.565314019985273	0.165659946916056
Brat1	-0.000938796599611496	0.990710394520312
Gna12	0.0274457428096492	0.918584413555651
Slc22a18	-0.0637023662230937	0.952446829908457
Itgb2l	-0.334597681087892	0.0604588926995585
Igsf5	0.775567551547871	0.285212795841775
Pih1d2	0.131617481590964	0.891654184420957
Dlat	-0.290747453086149	0.274756476629753
Sdhd	-0.170272787867647	0.406025722713642
Fgf23	-0.67048720041088	0.401870631180103
Fgf6	-0.294291340971101	0.646704705525261
Ccnd2	0.149776202529832	0.296436329879688
Gpr107	0.413916842451114	0.115638826208009
Nalcn	-0.210036959905367	0.793103784736862
Btbd17	-0.158640888030294	NA
Slfn4	-0.681821664894749	0.000485378124427088
Th	0.00786178060589732	NA
Ins2	0.00959150664167232	NA
Scnn1g	-0.00777446773241179	NA
Drp2	0.454358002841195	0.102573495097318
Tspan32	-0.542010061089108	0.0047872486637853
Lhx2	1.27033313933838	0.0718467379037696
Clec2g	-0.590538566835722	0.519072540777058
Gmpr	-0.521861885416373	0.0740987224340607
Glra1	-0.286757291180353	NA
Mid2	0.448215390682942	0.00914231661695838
Trim25	-0.1487346591508	0.455441132849451
Dgke	0.0348787739199247	0.914782197386003
Scpep1	0.598308719970263	0.000106802425973552
Mnt	0.13750330636866	0.655815755074589
Itgb2	-0.411733454178673	0.00199631455764043
Hddc2	0.122136509507896	0.64076580785239
Tpd52l1	0.0489509338094851	0.899849732693732
Pemt	0.0525167513308815	0.957200012321732
Cdh1	-0.302067192164161	0.484493810370777
Cdh4	-0.0664215660187371	0.966426260278369
Ckmt1	-0.163840755911045	0.818029813261427
Bcl6b	0.880856152510239	4.26820515750456e-05
Clec10a	0.59038781713901	0.114920280678193
Alox12	-0.486689932949334	0.000899824322228132
Arvcf	-0.0611977078470229	0.919192360244374
Comt	0.119498258615806	0.404506193108712
Rtca	0.151216676420609	0.501069931782493
Dbt	-0.0158677713211633	0.997433465950861
Dazap2	-0.160743030952673	0.0353854089140176
Mcts1	0.0736180568232863	0.820472520260507
Rem1	-0.0945087663780155	0.933661584173186
Rnf17	-0.718737656964984	0.352392218231589
Trappc10	-0.316203436575292	0.0015771035292232
Ccm2	-0.156937772136874	0.510064220650216
Wap	-0.0054092831046385	NA
