gene_name	Injured_MRL_MpJ_1_day_post_injuryvsUninjured_MRL_MpJ_1_day_post_injury_log2FoldChange	Injured_MRL_MpJ_1_day_post_injuryvsUninjured_MRL_MpJ_1_day_post_injury_padj
Slc7a7	0.413963015440871	0.0867239730075044
Oxa1l	-0.0457912276386001	1
Heatr6	-0.177913026423317	0.942374343778139
Ccl3	-0.0233981729405507	1
Wfdc18	0.198316176731709	1
Icam4	-0.12080042851337	1
Ilf2	0.0790181234481196	0.696429143799466
Chtop	0.0181345828918085	1
Snapin	-0.0702523816211191	1
S100a4	0.722647051504226	0.0366194526318115
S100a3	0.750510434786406	0.696356623541741
S100a5	0.111891385586192	1
S100a6	0.313498024686434	0.195474660207174
Scn4a	-0.185990248656006	1
Icam2	0.170600806526556	0.840226662295371
Mapk7	0.204619208138133	0.880703483212245
Epn2	0.0557359119912594	1
B9d1	1.01327198211192	0.0978554698691358
Sec24b	0.000832562019191402	1
N4bp3	0.193641666797545	0.929065080804538
Rmnd5b	0.101925215281004	1
Nhp2	0.154249614889866	0.859403690433175
Vps9d1	-0.0390724840810654	1
Zfp276	0.0818052457944518	1
C1ql4	-0.00604010415286384	1
Mfsd10	0.061424990054618	1
Luzp1	0.357087092780088	0.453504342095706
Slc13a2	-0.388855400266858	1
Kctd10	0.14368368743111	0.348744617705831
Poldip2	-0.0293677895230864	1
Sebox	0	1
Ift20	0.153301526940882	0.656043388916199
Col6a1	0.40014690791044	0.842150910251882
Pcbp3	0.320609022452589	0.846248350955113
Lgals9	0.0893467680848291	1
Araf	-0.0320496931670207	1
Cfp	0.0381270876120308	1
Timp1	1.97977705896075	1.48068956753788e-07
Uxt	0.140219129504331	0.931311758054797
Cnnm3	0.0285575167419003	1
Lman2l	-0.190689747633226	0.822403221906191
Mcm3ap	-0.129079967632308	1
Pcnt	-0.107717769744394	0.885917093740654
Ftcd	-0.539439668333977	0.911495344889938
Mxd1	-0.16471589212431	0.753261571967074
Gmcl1	-0.0410684205008976	1
Snrnp27	-0.188517094833697	0.555280351360612
Oas1c	0.333818447436201	0.91185107511339
Oas1h	0	1
Ocrl	0.0547787152085359	1
Calm1	0.186992448088048	0.440048756196161
Agpat3	-0.181556401561671	0.743324230508323
Slc26a3	-0.46733198516443	0.830655004828985
Sema6b	0.591919021644078	0.168887732184997
Uhrf1	-0.0467684243011136	1
Dpp9	-0.0615488022096701	1
Ramp2	0.026874396354332	1
Lsr	0.310342255025859	0.845352331105366
Gramd1a	-0.0587296134812126	1
Hpn	-0.0609384568887641	1
Gabrg1	-0.409914366405342	1
Ckb	0.105262112412596	1
Sp1	0.0223623425286802	1
Itgb7	-0.0979073691152419	1
Myg1	0.0849972274771697	1
Rarg	0.048974528605689	1
Pfdn5	0.0410094283784255	1
Efnb2	-0.0359996276083857	1
Rrp15	0.158360646452725	0.634637569945064
Rnd2	0.0206092184162578	1
Srr	-0.170241282498828	0.91554223769248
Sync	0.160431078280451	1
Fndc5	-0.28589068852279	0.84341641526768
Acp5	0.0239446658540627	1
Cnn1	-0.234570581971871	1
Fbxo9	-0.159216476057339	0.797697548546744
Vps50	-0.204585330288739	0.765735554813925
Hars	-0.037159131424316	1
Zmat2	-0.0417331576750125	1
Ube2c	-0.073357141433271	1
Smg5	0.028223673775296	1
Cct3	0.0917104634551392	0.832031055558787
Glmp	-0.0264330969893143	1
Mef2d	0.0386637242900562	1
Tmem79	0.0601638040547911	1
Snd1	0.0966435923712314	1
Col18a1	0.614087685755676	0.438556925046844
Slc19a1	0.300717653766356	0.7192972971027
Kpnb1	0.095857480539221	0.97996767612595
Npepps	-0.12144160600059	0.867478413636195
Tbx21	-0.476753603624069	0.795676954240604
Mrpl10	-0.0172021262477275	1
Cyp51	0.251632019455773	0.84892149867399
Tcf25	0.019433623767924	1
Tubb6	1.30572933525016	1.76583514679506e-07
Def8	-0.0788936001706264	1
Meox1	0.0944761926930383	1
Sost	-0.233861559734691	0.938740665590134
Nkx2-1	-0.110552080033614	1
Pax9	-0.0872846214468191	1
Irx2	-0.212139582926705	1
Col1a1	0.285019623249644	0.613806166473737
Itga3	-0.068036551523671	1
Sgca	-0.304574933038778	0.818611622554405
Dlx3	0.14288947136624	1
Foxm1	0.0370759019121819	1
Itfg2	-0.0556550024990922	1
Nrip2	0.241682289100437	0.775582607758381
Tulp3	0.200508604451898	0.824059742968122
Gtf2h4	-0.117341686146881	1
Tubb5	0.145808556377856	0.679949594170499
Ell2	-0.0870980631396066	1
Jup	0.534801643990575	0.00235960580144383
Fkbp10	0.472535775350565	0.289725305504665
Klhl10	-0.0984644683303591	1
Mnx1	NA	NA
Nom1	0.186493521169529	0.789993950360204
Ergic1	0.137169015633008	0.903794034929534
Tnk1	0.108073068994359	1
Acap1	-0.109009071172038	0.960664408525813
Tcea3	-0.38096540719723	0.588955554734902
Csn3	0.614434757986827	0.85166529984884
Ifrd1	0.0381192114958854	1
Stk38l	-0.235099437278284	0.815290586211074
Brpf1	0.0544944644554735	1
Akr1b3	-0.248716745161961	0.656065445316303
Hoxc13	-0.201307829698987	1
Hoxc11	-0.0821778749443693	1
Hoxc8	0.0965350376497097	1
Hoxc6	-0.201027340766729	0.920166598451264
Gstt1	0.0247356687322698	1
Gstt3	0.0165874013716655	1
Ddt	0.0677769942466152	1
Tat	-0.0198439293909876	1
Marveld3	0.276527045921329	1
Ddx18	0.0527039157522549	1
Ubl3	-0.135180875683771	0.753261571967074
Gramd3	0.129462156192134	0.897421199679585
Eef1e1	0.128289805985539	0.979359090683575
Akt1	0.11075861763789	0.840836881289034
Cldn15	0.0416509846418013	1
Il16	-0.0798234573066251	0.985331967979177
Tcirg1	0.071228531700116	1
Naglu	0.172745011833673	0.892100009860348
Coasy	0.000470480991162915	1
Smo	0.0298518849559358	1
Tspan33	-0.0764663095480205	1
Crnkl1	-0.0235000781470762	1
Rin2	0.176959236982765	0.951387227894749
Folh1	-0.193544154782834	1
Chordc1	-0.23912465896072	0.498272221174933
Rtcb	-0.0073814781577515	1
Pwp1	0.0230771219745293	1
Fbxo7	-0.111318210772481	1
Capns1	0.139495908090571	0.2567017691611
Lrp3	-0.0840494103575509	1
Dsg4	0	NA
Evx2	-0.280169100439041	1
Hoxd13	-0.0264052165135822	1
Hoxd12	NA	NA
Folr1	-0.454946214248263	0.974083826018446
Clpb	-0.0542258960504951	1
Sept7	-0.0229341814187971	1
Zdhhc4	-0.0468927792263813	1
Rac1	0.0424805545226124	0.930043861714894
Nup214	0.621045907035306	0.200262416773639
Aif1l	-0.397316136663458	0.974935961297366
Cpa3	-0.0531482004271891	1
Ltbp1	0.0840810900814906	1
Ugp2	-0.238982365064124	0.818611622554405
Kcnh6	0	1
Trmt1	-0.0715205030011945	1
Nacc1	0.117236234063304	0.524857333232211
Nfix	-0.156026790417758	0.822542862525078
Slc1a5	0.0432781792520861	1
Uba1	-0.0245253361398956	1
Vwf	-0.0717165182061423	1
Siae	-0.0109229787206771	1
Vsig2	0.377807605693382	0.670045892681411
Esam	-0.167121674726227	0.945285538313667
Spa17	-0.248183544308375	0.832031055558787
Fam50a	-0.0564310865127848	0.995721104760073
Emd	-0.0638759237615563	1
Taco1	-0.361296261524682	0.305639108201085
Grik3	0.26647233653882	0.991444793178164
Gria3	-0.0356842304662155	1
Npas1	0.314842689289245	1
Sipa1l2	0.355787420853642	0.0100117172236811
Ap4e1	0.197106536620331	0.622084191998425
Blvra	-0.0974197560986589	0.936371238113193
Pdzd4	0.205437714329775	0.827128055836321
Srpk3	-0.577019488023546	0.0779270739767609
Idh3g	-0.224774042549636	0.465103395671157
Pnck	-0.567762050420727	0.451511468222276
Ssr4	0.0324992570894906	1
Bcap31	0.0554043344584061	0.971873568007381
Fam98a	0.211334018821816	0.237177989865488
Ltbp2	1.37215341143187	0.000109191812262571
Kmt2a	0.140181776783786	0.685485176095382
