gene_name	Injured_MRL_MpJ_1_week_post_injuryvsUninjured_MRL_MpJ_1_week_post_injury_log2FoldChange	Injured_MRL_MpJ_1_week_post_injuryvsUninjured_MRL_MpJ_1_week_post_injury_padj
S100a4	0.378888250132953	0.856652333791506
S100a3	-0.0750948317440367	1
S100a5	-0.15632350787716	1
S100a6	0.117741034103774	1
Scn4a	-0.356050991369576	0.913780576115187
Icam2	-0.0347485393991409	1
Mapk7	-0.111034089160343	1
Epn2	-0.212775170743956	1
B9d1	0.27670604724497	1
Sec24b	-0.214772058459252	0.881089138415516
N4bp3	0.247070481228373	0.976047727593783
Rmnd5b	0.1314641296553	1
Nhp2	0.0617947046067152	1
Vps9d1	-0.188459613036869	1
Zfp276	0.112838433308658	1
C1ql4	0.102027535244769	1
Mfsd10	0.16283949622876	1
Luzp1	0.0775025212205128	1
Slc13a2	-0.100962003890584	1
Kctd10	0.070253627720564	1
Poldip2	-0.0501266140810666	1
Sebox	-0.00728403117227195	1
Ift20	0.0961630776923616	1
Col6a1	0.661032060840991	0.737418390640843
Pcbp3	-0.678546437503209	0.571752965963104
Lgals9	0.129699007052613	1
Araf	-0.13783063552359	0.847782052724836
Cfp	-0.06167270734889	1
Timp1	0.355029082658949	1
Uxt	-0.434350756134389	0.354800386917197
Cnnm3	0.00736391793801822	1
Lman2l	-0.106826128519453	1
Mcm3ap	-0.0296298551062428	1
Pcnt	-0.161777652419803	0.862824060305894
Ftcd	0.187956357291842	1
Mxd1	0.107887695099426	1
Gmcl1	-0.0441061203251057	1
Snrnp27	-0.0408655526825807	1
Oas1c	-0.369592869516879	1
Oas1h	0	1
Ocrl	0.090159466075544	1
Calm1	-0.0691091572438751	1
Agpat3	0.0413557845551138	1
Slc26a3	0.678140475918172	0.872699129075817
Sema6b	0.200435057330019	1
Uhrf1	0.0395262029604556	1
Dpp9	-0.0538560224413447	1
Ramp2	-0.00738588263735384	1
Lsr	0.0306062328588112	1
Gramd1a	0.0981361752313061	1
Hpn	-0.166804213008232	1
Gabrg1	-0.221337510468942	1
Ckb	0.0873726912037968	1
Sp1	0.104219659993252	1
Itgb7	0.0774150123217195	1
Myg1	0.120390242162689	1
Rarg	0.036163937836955	1
Pfdn5	-0.18491620230117	0.58542355689047
Efnb2	-0.135583599512239	1
Rrp15	0.00872626462096709	1
Rnd2	0.0271094693217847	1
Srr	0.136173548902326	1
Sync	-0.535392769028321	0.489111371869946
Fndc5	-0.336556395702241	0.906405180079779
Acp5	0.106956879279981	1
Cnn1	0.513914434652122	0.886903726057133
Fbxo9	0.126216312691629	1
Vps50	-0.0329056928001945	1
Hars	0.0306291376394442	1
Zmat2	-0.0275372603455418	1
Ube2c	0.0574574664390515	1
Smg5	0.0194727227472487	1
Cct3	-0.0708416875140694	1
Glmp	0.079847514870767	1
Mef2d	-0.15497912695671	1
Tmem79	-0.671180797193421	0.783121179640118
Snd1	0.0623853185153152	1
Col18a1	0.627849339214919	0.729043826977986
Slc19a1	0.22620867518032	1
Kpnb1	-0.0949572593768049	1
Npepps	-0.151222123929067	0.938172165601604
Tbx21	-0.0973358094902581	1
Mrpl10	-0.0236580486482768	1
Cyp51	0.203815515985389	1
Tcf25	-0.00992095102137973	1
Tubb6	0.187068287718269	1
Def8	-0.00507935833665286	1
