ID	cultured.cells.from.synovial.membrane..inflammatoryvscultured.cells.from.synovial.membrane.normal.reactive_logFC	cultured.cells.from.synovial.membrane..inflammatoryvscultured.cells.from.synovial.membrane.normal.reactive_padjFilter
7A5	0.0274226441988565	NA
A1BG	0.0225079173530744	NA
A1BG	-0.0345120618336336	NA
A1CF	0.0216221604576674	NA
A1CF	0.0208833900466869	NA
A1CF	-0.0155547692355276	NA
A26C3	0.0158313288028742	NA
A26C3	0.0412218600247991	NA
A26C3	0.0302612723722477	NA
A2BP1	0.00437596362533377	NA
A2BP1	0.00554418271853763	NA
A2BP1	0.00405494178937982	NA
A2BP1	0.0272739089617744	NA
A2LD1	0.0102353320469186	0.86925929486621
A2M	0.266756819527444	0.247806096927896
A2ML1	0.016787897496326	NA
A3GALT2	0.0424766181931595	NA
A3GALT2	0.00111891183237489	NA
A4GALT	0.295545154515001	0.0511299395826091
A4GNT	0.00102167359983518	NA
AAA1	-0.0142547397628752	NA
AAA1	0.0200971822263138	NA
AAA1	0.00204427506561711	NA
AAA1	-0.00239972655235299	NA
AAA1	0.0056325429091828	NA
AAAS	-0.0147097494223747	0.786955035188381
AACS	-0.0396302274806821	0.716120913067376
AACSL	0.015280397985598	0.647040799481536
AADAC	0.0155071674885763	NA
AADACL1	-0.149775738291284	0.334336669626423
AADACL1	-0.300086862079475	0.165602493999652
AADACL2	-0.00601877719631094	NA
AADACL3	-0.023870437429828	NA
AADACL4	0.0265743379762684	NA
AADAT	-0.00839260294998123	NA
AADAT	0.0234269987711961	NA
AADAT	0.0225105470389693	NA
AADAT	-0.108965737130836	0.19487064239691
AAGAB	0.0563380221984229	0.339923518520117
AAK1	-0.151876717749793	0.0829619051715613
AAK1	0.0122923926877574	NA
AAK1	-0.0111159999937778	NA
AAMP	0.209981322928796	0.0741631845449356
AANAT	0.0176561905882533	NA
AARS	-0.0626102463223379	0.795415125806065
AARS2	-0.0347586669650468	0.694990666262582
AARSD1	-0.206227443313159	0.0611941777355773
AASDH	0.0974254222896871	0.0601960820780443
AASDHPPT	0.0276028563011401	0.708177414786089
AASDHPPT	0.0942459773354809	0.212636445494063
AASS	0.0236206276320132	0.808284811237711
AASS	0.0345292369757919	0.480332329314271
AATF	-0.0767604679792608	0.204868142827521
AATK	-0.000796021544350545	NA
AATK	0.0316926830438566	NA
AATK	-0.0896773372028719	0.196567093470586
ABAT	0.0223476438250954	NA
ABAT	-0.00330864410797105	NA
ABAT	0.0179823847571843	0.836019115487787
ABCA1	1.08506925542782	0.0745013407549994
ABCA10	0.0176659378786495	NA
ABCA10	-0.0203724476911349	NA
ABCA11	-0.0256322390113715	NA
ABCA12	-0.0204771576752014	NA
ABCA12	0.00482225118667223	NA
ABCA13	0.00434969241362992	NA
ABCA2	0.0219494723619222	NA
ABCA2	-0.0121387172289875	0.847971878765454
ABCA3	0.0904356592781692	0.512685037289309
ABCA4	-0.00685130434035131	NA
ABCA5	-0.028703723967582	NA
ABCA5	-0.0229234302783672	NA
ABCA5	0.0174999170440602	NA
ABCA6	0.0182339099763702	0.872925813247456
ABCA6	-0.0178222034494642	NA
ABCA7	0.00695486592150285	NA
ABCA7	0.106440315818491	0.23434459136809
ABCA7	-0.00373649649689778	NA
ABCA8	0.221051159685388	0.0686684263866127
ABCA8	0.845402591278706	0.0852940627179681
ABCA9	0.289168524491451	0.106333897054199
ABCA9	0.0566008019675026	NA
ABCB1	0.0268333366037004	NA
ABCB1	0.0308710338073181	NA
ABCB10	-0.104867666653579	0.276084092218265
ABCB11	0.00507377601675785	NA
ABCB4	0.0114066714631074	NA
ABCB5	0.000757941982739929	NA
ABCB6	0.00559692318092431	0.960198312752051
ABCB7	0.102324208489858	0.200447402969614
